UserID,UserType,FirstName,LastName,DateOfBirth,PhoneNumber,Address,ShopID,DateOfEmployment,EmployeesIDs,ShopsIDs
1,employee,Dorel,Mirel,January 2 2000,777 777 777,Strada Plosnitelor,0,March 2 2017,-,-
3,manager,George,Falea,January 2 2000,777 777 777,Strada Plosnitelor,0,March 2 2017,1;,-
4,ceo,Poenaru,Iulian,January 2 2000,777 777 777,Strada Plosnitelor,-,-,1;5;7;9;10;11;13;14;15;,0;1;2;3;4;
5,manager,sad,sad,December 12 2000,111,asd,2,December 27 2023,14;,-
7,employee,qwert,qwertt,December 12 2000,122,sadfg,4,December 27 2023,-,-
9,employee,Anagajat1,Anagajat,December 21 2000,111112,jkhkhb,4,December 27 2023,-,-
10,employee,Florin,Florinel,April 12 2000,444,ajbkjb,3,December 27 2023,-,-
11,manager,manager 1,manager 1,March 15 2000,7778,asda,3,December 30 2023,10;13;,-
13,employee,anagajat 1,angajat 1,January 19 1993,12234,sdafsadsa,3,December 30 2023,-,-
14,employee,asasd,aSDASDA,March 15 2000,3432,sdfsadfa,2,December 30 2023,-,-
15,manager,wqdfqwfq,wefwqfeq,March 15 2000,wefqwfwqfwewqfeq,wefwqqf,4,December 30 2023,9;,-
